id,title,genres,overview,keywords,vote_average,year
57201,The Lone Ranger,Action Adventure Western,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,5.9,2013
49521,Man of Steel,Action Adventure Fantasy Science Fiction,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,6.5,2013
2454,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,6.3,2008
24428,The Avengers,Science Fiction Action Adventure,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,7.4,2012
1865,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,6.4,2011
41154,Men in Black 3,Action Comedy Science Fiction,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",time travel time machine alien fictional government agency seeing the future changing history,6.2,2012
122917,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,7.1,2014
1930,The Amazing Spider-Man,Action Adventure Fantasy,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,6.5,2012
20662,Robin Hood,Action Adventure,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,6.2,2010
57158,The Hobbit: The Desolation of Smaug,Adventure Fantasy,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",elves dwarves orcs hobbit dragon wizard sword and sorcery,7.6,2013
2268,The Golden Compass,Adventure Fantasy,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",england compass experiment lordship uncle polar bear orphan animal based on young adult novel,5.8,2007
254,King Kong,Adventure Drama Action,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,6.6,2005
597,Titanic,Drama Romance Thriller,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,7.5,1997
271110,Captain America: Civil War,Adventure Action Science Fiction,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,7.1,2016
44833,Battleship,Thriller Action Adventure Science Fiction,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,5.5,2012
135397,Jurassic World,Action Adventure Science Fiction Thriller,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,6.5,2015
37724,Skyfall,Action Adventure Thriller,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,6.9,2012
558,Spider-Man 2,Action Adventure Fantasy,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,6.7,2004
68721,Iron Man 3,Action Adventure Science Fiction,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,6.8,2013
12155,Alice in Wonderland,Family Fantasy Adventure,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,6.4,2010
36668,X-Men: The Last Stand,Adventure Action Science Fiction Thriller,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,6.3,2006
62211,Monsters University,Animation Family,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,monster dormitory games animation best friend university scary aftercreditsstinger,7.0,2013
8373,Transformers: Revenge of the Fallen,Science Fiction Action Adventure,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,6.0,2009
91314,Transformers: Age of Extinction,Science Fiction Action Adventure,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",sequel alien transformers giant robot robot imax transforming robot,5.8,2014
68728,Oz: The Great and Powerful,Fantasy Adventure Family,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",circus witch magic hope illusion lost magic trick wizard 3d,5.7,2013
102382,The Amazing Spider-Man 2,Action Adventure Fantasy,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers,6.5,2014
20526,TRON: Legacy,Adventure Action Science Fiction,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy,6.3,2010
49013,Cars 2,Animation Family Adventure Comedy,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,car race sequel comedy anthropomorphism best friend duringcreditsstinger,5.8,2011
44912,Green Lantern,Adventure Action Thriller Science Fiction,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",dc comics transformation superhero alien alien infection magical object protector super powers origin 3d,5.1,2011
10193,Toy Story 3,Animation Family Comedy,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story,7.6,2010
534,Terminator Salvation,Action Science Fiction Thriller,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles,5.9,2009
168259,Furious 7,Action,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,car race speed revenge suspense car race muscle car,7.3,2015
72190,World War Z,Action Drama Horror Science Fiction Thriller,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse,6.7,2013
127585,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future,7.5,2014
54138,Star Trek Into Darkness,Action Adventure Science Fiction,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d,7.4,2013
81005,Jack the Giant Slayer,Action Family Fantasy,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",based on fairy tale giant,5.5,2013
64682,The Great Gatsby,Drama Romance,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",based on novel infidelity obsession hope 3d,7.3,2013
9543,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",persia sandstorm brother against brother armageddon regent based on video game,6.2,2010
68726,Pacific Rim,Action Science Fiction Adventure,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d,6.7,2013
38356,Transformers: Dark of the Moon,Action Science Fiction Adventure,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger,6.1,2011
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology ,5.7,2008
105864,The Good Dinosaur,Adventure Animation Family,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey,6.6,2015
62177,Brave,Animation Adventure Comedy Family Action Fantasy,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d,6.7,2012
188927,Star Trek Beyond,Action Adventure Science Fiction,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",sequel stranded hatred space opera,6.6,2016
10681,WALL·E,Animation Family,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",romantic comedy,7.8,2008
5174,Rush Hour 3,Action Comedy Crime Thriller,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",ambassador,6.1,2007
14161,2012,Action Adventure Science Fiction,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind,5.6,2009
17979,A Christmas Carol,Animation Drama,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas,6.6,2009
76757,Jupiter Ascending,Science Fiction Fantasy Action Adventure,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",jupiter space woman director 3d interspecies romance,5.2,2015
258489,The Legend of Tarzan,Action Adventure,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",africa feral child tarzan jungle animal attack,5.5,2016
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger,6.7,2005
246655,X-Men: Apocalypse,Science Fiction,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s,6.4,2016
155,The Dark Knight,Drama Action Crime Thriller,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman,8.2,2008
14160,Up,Animation Comedy Family Adventure,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",age difference central and south america balloon animation floating in the air duringcreditsstinger exploring,7.7,2009
15512,Monsters vs Aliens,Animation Family Adventure Science Fiction,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",alien giant robot duringcreditsstinger,6.0,2009
1726,Iron Man,Action Science Fiction Adventure,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson,7.4,2008
44826,Hugo,Adventure Drama Family,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d,7.0,2011
8487,Wild Wild West,Action Adventure Comedy Science Fiction Western,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,steampunk based on tv series steam locomotive drag,5.1,1999
1735,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",,5.2,2008
